"CensusID","DateID","SiteID","AreaID","TypeID","CounterID","DielID","TimeStart","TimeEnd","AreaCovered","CensusComments","CensusNum","s_ColLineage","s_Generation","s_GUID","s_Lineage"
14946081,-2066692649,100,33,2,10,1,"1899-12-30 18:26:00","1899-12-30 18:38:00",100,,76,,17,,
-891223261,-2066692649,100,34,2,10,1,"1899-12-30 18:38:00","1899-12-30 19:03:00",100,,77,,17,,
886189817,-2066692649,100,35,2,10,1,"1899-12-30 19:04:00","1899-12-30 19:08:00",100,,78,,17,,
-785462864,-2066692649,100,36,2,10,1,"1899-12-30 19:08:00","1899-12-30 19:15:00",100,,79,,17,,
-59609843,-2066692649,100,37,2,10,1,"1899-12-30 19:15:00","1899-12-30 19:20:00",100,,80,,17,,
-1493389821,-2066692649,100,38,2,10,1,"1899-12-30 19:20:00","1899-12-30 19:30:00",100,,81,,17,,
-1266131144,-2066692649,100,39,2,10,1,"1899-12-30 19:30:00","1899-12-30 19:41:00",100,,82,,17,,
-777788129,1822616677,100,25,2,10,1,"1899-12-30 16:10:00","1899-12-30 16:17:00",100,,83,,17,,
-1565587750,1822616677,100,27,2,10,1,"1899-12-30 16:18:00","1899-12-30 16:22:00",100,,84,,17,,
-1011787079,1822616677,100,26,2,10,1,"1899-12-30 16:22:00","1899-12-30 16:29:00",100,,85,,17,,
-2076978064,1822616677,100,22,2,10,1,"1899-12-30 16:30:00","1899-12-30 16:35:00",100,,86,,17,,
-1769172962,1822616677,100,23,2,10,1,"1899-12-30 16:36:00","1899-12-30 16:52:00",100,,87,,17,,
1119831208,1822616677,100,24,2,10,1,"1899-12-30 16:52:00","1899-12-30 17:02:00",100,,88,,17,,
-1054137512,1822616677,100,28,2,10,1,"1899-12-30 17:03:00","1899-12-30 17:12:00",100,,89,,17,,
1241929950,1822616677,100,30,2,10,1,"1899-12-30 17:12:00","1899-12-30 17:19:00",100,"Nc 12 eaten by oystercatcher",90,,17,,
-867768471,1822616677,100,29,2,10,1,"1899-12-30 17:26:00","1899-12-30 17:36:00",100,,91,,17,,
2093852207,1822616677,100,33,2,10,1,"1899-12-30 17:39:00","1899-12-30 17:54:00",100,,92,,17,,
-2036670050,1822616677,100,32,2,10,1,"1899-12-30 17:55:00","1899-12-30 18:00:00",100,,93,,17,,
-375367798,1822616677,100,31,2,10,1,"1899-12-30 18:00:00","1899-12-30 18:16:00",100,,94,,17,,
352112526,1441310792,100,22,2,10,1,"1899-12-30 05:30:00","1899-12-30 06:16:00",50,,383,,0,,
859386346,1441310792,100,23,2,10,1,"1899-12-30 06:17:00","1899-12-30 06:52:00",40,"7+2 unassociated Nc eggs",384,,0,,
823711672,1441310792,100,24,2,10,1,"1899-12-30 06:53:00","1899-12-30 07:29:00",30,"7+6+10 unassociated No eggs",385,,0,,
995232498,1441310792,100,26,2,10,1,"1899-12-30 07:34:00","1899-12-30 08:19:00",70,"Leptasterias 15 on No 12",386,,0,,
-222830133,1441310792,100,29,2,10,1,"1899-12-30 08:21:00","1899-12-30 09:16:00",35,"3+6+8+6+6+15+10 unassociated eggs",387,,0,,
-1712772068,1441310792,100,33,2,10,1,"1899-12-30 09:18:00","1899-12-30 09:44:00",30,,388,,0,,
1912821305,212863512,100,38,2,10,1,"1899-12-30 05:09:00","1899-12-30 05:54:00",60,,389,,0,,
-1725851018,212863512,100,39,2,10,1,"1899-12-30 05:57:00","1899-12-30 06:52:00",25,"5+1 unassociated eggs",390,,0,,
1528667966,212863512,100,37,2,10,1,"1899-12-30 06:55:00","1899-12-30 07:32:00",25,"8+9+4 unassociated eggs",391,,0,,
2019857370,212863512,100,36,2,10,1,"1899-12-30 07:35:00","1899-12-30 08:27:00",30,"10+6+3 unassociated eggs",392,,0,,
1234931797,212863512,100,28,2,10,1,"1899-12-30 08:37:00","1899-12-30 09:30:00",30,"10+7+15 unassociated eggs",393,,0,,
-701056579,212863512,100,30,2,10,1,"1899-12-30 09:31:00","1899-12-30 10:28:00",50,,394,,0,,
-1041924533,1144922034,100,25,2,10,1,"1899-12-30 06:42:00","1899-12-30 07:44:00",50,"12 unassociated eggs",395,,0,,
257614302,1144922034,100,32,2,10,1,"1899-12-30 07:48:00","1899-12-30 08:49:00",20,"6+6+9+8+7+8+8+9+7+8 unassocited eggs",396,,0,,
-1441166868,1144922034,100,31,2,10,1,"1899-12-30 09:02:00","1899-12-30 10:00:00",50,"New natural patch next to AD (~3.5x2m) down to byssus threads, and almost no Semibalanus left.",397,,0,,
-1488902904,1144922034,100,35,2,10,1,"1899-12-30 10:05:00","1899-12-30 10:54:00",30,,398,,0,,
-1955678402,1144922034,100,34,2,10,1,"1899-12-30 10:56:00","1899-12-30 11:56:00",20,"9 unassociated eggs",399,,0,,
872088974,1444845793,100,24,2,10,1,"1899-12-30 04:22:00","1899-12-30 05:11:00",40,,400,,0,,
-1596540105,1444845793,100,22,2,10,1,"1899-12-30 05:12:00","1899-12-30 05:59:00",60,,401,,0,,
-487708217,1444845793,100,23,2,10,1,"1899-12-30 06:03:00","1899-12-30 06:38:00",50,"11 unassociated eggs",402,,0,,
-1676671536,1444845793,100,26,2,10,1,"1899-12-30 06:42:00","1899-12-30 07:43:00",100,"3 unassociated eggs",403,,0,,
-1387498351,1444845793,100,28,2,10,1,"1899-12-30 07:54:00","1899-12-30 08:50:00",25,"8 unassociated eggs",404,,0,,
283847882,68443011,100,30,2,10,1,"1899-12-30 04:21:00","1899-12-30 05:19:00",30,,405,,0,,
2109476069,68443011,100,29,2,10,1,"1899-12-30 05:20:00","1899-12-30 06:22:00",50,"3+7 unassociated eggs",406,,0,,
715230163,68443011,100,31,2,10,1,"1899-12-30 06:27:00","1899-12-30 07:13:00",35,"12 unassociated eggs",407,,0,,
-1833105520,1444845793,100,32,2,10,1,"1899-12-30 07:20:00","1899-12-30 08:27:00",30,"9+14+7+4+13+9+7+10+7+7+70+12 unassociated eggs",409,,0,,
1858204471,68443011,100,34,2,10,1,"1899-12-30 08:37:00","1899-12-30 09:41:00",50,"7+5+2+11+10+4 unassociated eggs",410,,0,,
-1234748679,840514008,100,39,2,10,1,"1899-12-30 05:03:00","1899-12-30 06:18:00",50,"6+30+8+5+8 unassociated eggs",411,,0,,
1470824270,840514008,100,38,2,10,1,"1899-12-30 06:19:00","1899-12-30 07:28:00",70,"15+2 unassociated eggs",412,,0,,
-1892620264,840514008,100,36,2,10,1,"1899-12-30 07:46:00","1899-12-30 08:43:00",25,"7+7+7 unassociated eggs",413,,0,,
108344062,840514008,100,37,2,10,1,"1899-12-30 08:46:00","1899-12-30 09:35:00",35,"8+6+7+7+3+6+10+9 unassociated eggs",414,,0,,
-394598425,840514008,100,35,2,10,1,"1899-12-30 09:36:00","1899-12-30 10:23:00",,"8 unassociated eggs",415,,0,,
945096406,-1744604087,100,27,2,10,1,"1899-12-30 05:43:00","1899-12-30 06:45:00",65,"39+10+10 unassociated eggs",416,,0,,
1451755680,-1744604087,100,25,2,10,1,"1899-12-30 06:49:00","1899-12-30 07:49:00",40,"8 unassociated eggs",417,,0,,
-835072694,-1744604087,100,33,2,10,1,"1899-12-30 07:57:00","1899-12-30 09:04:00",80,"1 unassociated egg",418,,0,,
-1151788029,1445445450,100,27,2,10,1,"1899-12-30 03:00:00","1899-12-30 03:53:00",60,"6 unassociated eggs",419,,0,,
1122586364,1445445450,100,25,2,10,1,"1899-12-30 03:54:00","1899-12-30 05:08:00",50,"9+7 unassociated eggs",420,,0,,
-56931837,1445445450,100,22,2,10,1,"1899-12-30 05:15:00","1899-12-30 06:13:00",60,,421,,0,,
633458067,1445445450,100,28,2,10,1,"1899-12-30 06:17:00","1899-12-30 07:23:00",30,"lots of sand",422,,0,,
-456389712,1445445450,100,33,2,10,1,"1899-12-30 07:25:00","1899-12-30 08:10:00",,,423,,0,,
334900280,1445445450,100,23,2,1410565351,1,"1899-12-30 06:38:00","1899-12-30 07:10:00",,,424,,0,,
415923960,1445445450,100,36,2,1410565351,1,"1899-12-30 07:15:00","1899-12-30 07:50:00",,,425,,0,,
794648699,-2084202334,100,30,2,10,1,"1899-12-30 03:09:00","1899-12-30 04:17:00",60,,426,,0,,
-633852226,-2084202334,100,29,2,10,1,"1899-12-30 04:21:00","1899-12-30 05:30:00",40,,427,,0,,
-447408602,-2084202334,100,26,2,10,1,"1899-12-30 05:38:00","1899-12-30 06:31:00",40,,428,,0,,
1607939105,-2084202334,100,24,2,10,1,"1899-12-30 06:34:00","1899-12-30 07:28:00",50,,429,,0,,
-446795939,-2084202334,100,35,2,10,1,"1899-12-30 07:37:00","1899-12-30 08:24:00",100,"5+8+5 unassociated eggs",430,,0,,
542009206,-48866455,100,32,2,10,1,"1899-12-30 05:18:00","1899-12-30 06:30:00",30,,431,,0,,
-935285718,-48866455,100,31,2,10,1,"1899-12-30 06:33:00","1899-12-30 07:30:00",50,"layer of sand",432,,0,,
-370872296,-48866455,100,34,2,10,1,"1899-12-30 07:35:00","1899-12-30 08:23:00",60,,433,,0,,
758705381,-48866455,100,23,2,10,1,"1899-12-30 08:40:00","1899-12-30 09:30:00",80,,434,,0,,
-99647780,-48866455,100,36,2,10,1,"1899-12-30 09:32:00","1899-12-30 10:18:00",100,"7 unassociated eggs",435,,0,,
1642370467,-1474968726,100,38,2,10,1,"1899-12-30 06:00:00","1899-12-30 07:13:00",75,"9+15+4 unassociated eggs",436,,0,,
1331394595,-1474968726,100,39,2,10,1,"1899-12-30 07:14:00","1899-12-30 08:04:00",45,,437,,0,,
-1027443183,-1474968726,100,37,2,10,1,"1899-12-30 08:13:00","1899-12-30 09:25:00",100,,438,,0,,
-745769301,-2109077705,101,-431229792,2,10,1,"1899-12-30 05:55:00","1899-12-30 07:06:00",30,,439,,0,,
-767803760,-2109077705,101,-1333542459,2,10,1,"1899-12-30 07:10:00","1899-12-30 08:20:00",70,"adding to Shannon's observations (mostly in low-density area of patch)",440,,0,,
